Time,Long. Accel.,Yaw Rate,Long. Velocity,Heading,X Pos,Y Pos,IMU Long Accel.,IMU Yaw Rate,Compass Hdg,Encoder Vel
0.05,1.0438521321,0.4591685125,0,0,0,0,0.8906942099,0.430392416,-0.0212977333,0.0050937739
0.1,1.0079092738,0.5434484286,0.0583371716,-0.0077624487,0.0086296372,-0.0028807119,1.2268531427,0.497781764,-0.132441308,0.0464128177
0.15,1.0601955562,0.4633883625,0.1296339798,0.02768036,0.0164225491,0.0029355899,0.8211768279,0.3795020776,0.073946129,0.1646786059
0.2,1.0423139839,0.5435029468,0.2557988462,0.0280111801,0.0299359213,0.0023312364,0.811229131,0.5675352684,-0.0173991311,0.2820119114
0.25,1.0156108737,0.5344090259,0.2588997448,0.0670637534,0.0403903377,-0.0057399401,1.3093016312,0.5266854894,0.0203517074,0.2508688433
0.3,1.1404632201,0.5315808727,0.2828703014,0.0706196519,0.0541547069,0.0051470923,1.2596487363,0.4176436932,0.1183592069,0.2935842185
0.35,0.9827113341,0.5169742319,0.3197567593,0.0571939397,0.0796905773,-0.0007137308,1.1352049704,0.6546791276,-0.0032381359,0.3231076478
0.4,0.9912142627,0.481850568,0.4075804188,0.0858107426,0.0822436048,0.0044688126,0.8459856019,0.5335935345,0.0908312489,0.371121861
0.45,1.0907859971,0.4355762999,0.5069318211,0.1097912793,0.1213664696,0.0062416823,0.8680350719,0.4987937451,0.0571426327,0.5247403349
0.5,0.8988635091,0.5267199728,0.5642435884,0.1421641138,0.1490592027,0.0046097073,0.8545193611,0.5632178642,0.0095294562,0.5198881803
0.55,1.0185924941,0.4177233805,0.6524124506,0.1269541679,0.164710103,0.0140971686,1.0426978681,0.3881364195,0.2516720379,0.6609955917
0.6,0.9729922713,0.5598213123,0.6965313857,0.1361498112,0.2047418342,0.0184596449,0.685039391,0.5245722609,0.2383989333,0.6993510711
0.65,1.0126456641,0.5397544993,0.7358818037,0.2039755679,0.2287503441,0.0224339755,1.0937967426,0.7263133833,0.0892982319,0.7349547595
0.7,0.9745751641,0.4800709189,0.7704331842,0.2535562311,0.2622094213,0.0191020114,1.1236827563,0.2191614733,0.2439777098,0.8235855329
0.75,1.0642524669,0.537045197,0.8536898873,0.2750615591,0.2893671625,0.0302556646,0.8166144709,0.5053515881,0.2712185094,0.8748166977
0.8,0.9665241758,0.5071908315,0.8240816202,0.2704191448,0.3355227448,0.0554184975,1.176163809,0.6032914859,0.2102238678,0.7881270371
0.85,1.0058516546,0.4833166341,0.885887557,0.298921286,0.3754712904,0.0809053423,1.0843632148,0.5081039704,0.1051667731,0.8390924217
0.9,0.9715313612,0.4283327155,0.9398540754,0.2934065442,0.4155302226,0.1076779324,1.2403205783,0.3408071304,0.2891569256,0.9694733176
0.95,0.962608714,0.4849414794,1.1094689828,0.3129159101,0.4490902455,0.1207648345,0.8281224815,0.4765077105,0.4579173722,1.1126634487
1,1.0163127282,0.4406326319,1.2217969163,0.3496885224,0.5078168572,0.1260864968,1.0416515358,0.3331117274,0.49400883,1.2486428194
1.05,0.9896526468,0.4519892412,1.2781214136,0.3595376926,0.574652366,0.1612712998,0.8910255132,0.5228456255,0.362038917,1.2706546978
1.1,0.9857331975,0.4923960759,1.3319142847,0.3354525013,0.6527335364,0.1898917657,0.9769396274,0.5217667217,0.4792532431,1.346831025
1.15,1.0169486224,0.4484438676,1.3177310347,0.3461851073,0.7082226103,0.2019634369,0.8960240269,0.3416424258,0.3342216611,1.2796000081
1.2,0.9531718001,0.524314156,1.3285330611,0.3836090697,0.7619766256,0.2119138163,0.910215681,0.4925895432,0.3346733523,1.274471696
1.25,0.9624678021,0.4239730728,1.3107939924,0.4020835487,0.8280229033,0.2396010564,0.9616851053,0.3594438158,0.4938895532,1.321044313
1.3,0.9849571192,0.4743161499,1.3598219044,0.3851561039,0.8851679312,0.2798317906,0.9120184303,0.3344544756,0.346046701,1.3629530835
1.35,0.981384529,0.4777889626,1.3712834686,0.4240491859,0.963551938,0.3166363788,1.2106515263,0.646948276,0.4205230824,1.3404224681
1.4,0.9633845229,0.5709053506,1.4636076807,0.4052951778,1.0355786471,0.3454760736,1.167854981,0.3660095751,0.6142225068,1.4106846275
1.45,1.0223430645,0.5382122436,1.4306968877,0.4547725605,1.0966650181,0.3720853275,0.8430534285,0.506401669,0.3751649021,1.4799470843
1.5,1.0579465012,0.5092236732,1.5572737396,0.474937704,1.1668077665,0.4112178766,0.9903589165,0.2588607221,0.1810224806,1.589955999
1.55,0.9433963122,0.4533873684,1.5814225383,0.4775566739,1.2328235899,0.4407380898,0.6211198846,0.5342600467,0.4442619281,1.628665555
1.6,1.0441591941,0.5032026619,1.5262818136,0.5272480285,1.2993428148,0.4808284777,1.0009008427,0.5064351813,0.7470711164,1.5264112773
1.65,0.9415195434,0.4048239448,1.6072230592,0.5382773194,1.3650926093,0.4994258984,0.6826931628,0.4091532069,0.4227226482,1.6304483442
1.7,1.0069189802,0.463769318,1.6051581899,0.543998216,1.4487995632,0.5410186395,0.7780297575,0.5112612578,0.457368632,1.6224260858
1.75,1.0542583264,0.5227864592,1.6764428162,0.5725153966,1.5069774152,0.5843935206,0.9387707628,0.5436127013,0.450096091,1.6648885773
1.8,1.0396924066,0.5577745579,1.6595328532,0.5836179266,1.5725552258,0.6293992882,1.0055375009,0.4739797121,0.7764795895,1.6645311833
1.85,0.9809311988,0.5038024259,1.7137233573,0.6212295437,1.6496213287,0.6615585798,1.2474381604,0.5950204884,0.5473940268,1.6722460716
1.9,1.0310409822,0.4803846971,1.7759006555,0.65326275,1.705904071,0.729050721,1.3001326379,0.5634122586,0.9203723291,1.7478353633
1.95,0.9965659304,0.4858720913,1.8514788916,0.6980756292,1.7862019082,0.774350573,0.6908052206,0.4966762341,0.5831024456,1.8445689864
2,0.9883546513,0.4822085604,1.9094294148,0.7523355231,1.8510609151,0.8442707586,0.9406181148,0.5428756922,0.7706639714,1.9305330589
2.05,1.0121778835,0.4409512999,2.0824370261,0.7876378872,1.9327314033,0.9141551609,1.0426795089,0.4952139706,0.8281796909,2.1008180591
2.1,0.9484028684,0.4958080481,2.1457739243,0.8215343391,1.9962635462,0.9902300594,0.4212741139,0.5473612158,0.8745550778,2.1664602288
2.15,0.9762304924,0.5461061168,2.1863990339,0.8331576946,2.0468700678,1.0806083363,0.8578855722,0.5052455518,0.5460099968,2.1590267905
2.2,1.078406139,0.5043148148,2.199598215,0.8895528648,2.1139235027,1.1647782691,0.8167735573,0.4467163832,1.1521021918,2.1810776941
2.25,1.0016635961,0.4997953896,2.2720078476,0.9070607935,2.1869999218,1.2338015344,0.9892100377,0.612887572,0.9915770484,2.2440771087
2.3,1.0438062392,0.5293924029,2.2777366214,0.9265744806,2.2375237986,1.3218954199,1.0896943672,0.7028619611,0.8543991691,2.2514650637
2.35,1.0416358789,0.4992928596,2.3700026541,0.9626550553,2.302723144,1.3974082657,1.1158844735,0.5886795903,0.9860574817,2.352014559
2.4,0.998002439,0.5723168198,2.5020926834,1.0040099907,2.36184289,1.4941255078,0.896954799,0.4106664407,1.0839538036,2.5409802332
